30178 text files.
23052 unique files.                                          
19326 files ignored.

github.com/AlDanial/cloc v 1.98  T=96.17 s (239.7 files/s, 94594.4 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
Python                               11775         647353        1085888        2462493
C/C++ Header                          9153         344028         711110        1690828
XML                                     26            176           1080         350977
Pascal                                 168         170350         734114         228840
C                                      153          15034          54514         221414
Cython                                  81          10276           5036          43513
CUDA                                   144           9947          40862          43034
CSV                                     38              0              0          40734
JSON                                   164            235              0          28572
C++                                    203           5891           4162          25171
JavaScript                             594           2654           1414          24949
Text                                   254           5024              0          23595
CSS                                     18           1607           1622          19429
SVG                                     17              1             12          14117
TableGen                                 1           1068            435           5696
Protocol Buffers                        84           1201           3809           2851
YAML                                    12             50              2           1737
HTML                                    30            165             47           1324
Jupyter Notebook                         6              0            625            872
Fortran 90                              44            104             79            768
TeX                                      1            131            116            730
reStructuredText                        10            274             37            730
PO File                                  3            270            288            666
Markdown                                16            159              0            472
Fortran 77                              17             57            127            457
Windows Module Definition                5             60              0            439
PowerShell                               2             60             92            150
Fish Shell                               2             32             27            108
MATLAB                                   5             42             45             94
Meson                                    2             11              1             60
C Shell                                  2             22             12             46
TOML                                     5             16              6             42
INI                                      4              7              0             39
Bourne Shell                             4             10              6             35
DOS Batch                                2             13              7             34
make                                     2              6              2             29
CMake                                    1              3              0             16
Starlark                                 1              3              1              9
Lua                                      1              0              1              2
Unity-Prefab                             1              0              0              2
Bazel                                    1              0              1              1
---------------------------------------------------------------------------------------
SUM:                                 23052        1216340        2645580        5235075
---------------------------------------------------------------------------------------

